Athlete,Auto,Date,Place,Time
Alfred Shrubb (GBR),,1904-11-05,"Glasgow, United Kingdom",31:02.4
Arturo Barrios (MEX),"",18.08.1989,"Berlin, Germany[2]",27:08.23
David Bedford (GBR),27:30.80,13.07.1973,"London, United Kingdom[2]",27:30.8
Emil Zátopek (CZE),"",01.06.1954,"Brussels, Belgium[2]",28:54.2
Emil Zátopek (CZE),"",01.11.1953,"Stara Boleslav, Czech Republic[2]",29:01.6
Emil Zátopek (CZE),"",04.08.1950,"Turku, Finland[2]",29:02.6
Emil Zátopek (CZE),"",11.06.1949,"Ostrava, Czech Republic[2]",29:28.2
Emil Zátopek (CZE),"",22.10.1949,"Ostrava, Czech Republic[2]",29:21.2
Fernando Mamede (POR),"",02.07.1984,"Stockholm, Sweden[2]",27:13.81
Haile Gebrselassie (ETH),"",01.06.1998,"Hengelo, Netherlands[2]",26:22.75
Haile Gebrselassie (ETH),"",04.07.1997,"Oslo, Norway[2]",26:31.32
Haile Gebrselassie (ETH),"",05.06.1995,"Hengelo, Netherlands[2]",26:43.53
Henry Rono (KEN),27:22.47,11.06.1978,"Vienna, Austria[2]",27:22.4
Ilmari Salminen (FIN),"",18.07.1937,"Kouvola, Finland[2]",30:05.6
Jean Bouin (FRA),"",16.11.1911,"Paris, France[2]",30:58.8
Joshua Cheptegei (UGA),"",07.10.2020,"Valencia, Spain",26:11.00
Kenenisa Bekele (ETH),"",08.06.2004,"Ostrava, Czech Republic[2]",26:20.31
Kenenisa Bekele (ETH),"",26.08.2005,"Brussels, Belgium[2]",26:17.53
Lasse Virén (FIN),27:38.35,03.09.1972,"Munich, Germany[2]",27:38.4
Paavo Nurmi (FIN),"",22.06.1921,"Stockholm, Sweden[2]",30:40.2
Paavo Nurmi (FIN),"",31.08.1924,"Kuopio, Finland[2]",30:06.2
Paul Tergat (KEN),"",22.08.1997,"Brussels, Belgium[2]",26:27.85
Pyotr Bolotnikov (URS),"",11.08.1962,"Moscow, Soviet Union[2]",28:18.2
Pyotr Bolotnikov (URS),"",15.10.1960,"Kiev, Soviet Union[2]",28:18.8
Richard Chelimo (KEN),"",05.07.1993,"Stockholm, Sweden[2]",27:07.91
Ron Clarke (AUS),"",18.12.1963,"Melbourne, Australia[2]",28:15.6
Ron Clarke (AUS),27:39.89,14.07.1965,"Oslo, Norway[2]",27:39.4
Salah Hissou (MAR),"",23.08.1996,"Brussels, Belgium[2]",26:38.08
Samson Kimobwa (KEN),27:30.47,30.06.1977,"Helsinki, Finland[2]",27:30.5
Sandor Iharos (HUN),"",15.07.1956,"Budapest, Hungary[2]",28:42.8
Taisto Mäki (FIN),"",17.09.1939,"Helsinki, Finland[2]",29:52.6
Taisto Mäki (FIN),"",29.09.1938,"Tampere, Finland[2]",30:02.0
Viljo Heino (FIN),"",01.09.1949,"Kouvola, Finland[2]",29:27.2
Viljo Heino (FIN),"",25.08.1944,"Helsinki, Finland[2]",29:35.4
Ville Ritola (FIN),"",06.07.1924,"Paris, France[2]",30:23.2
Ville Ritola (FIN),"",25.05.1924,"Helsinki, Finland[2]",30:35.4
Vladimir Kuts (URS),"",11.09.1956,"Moscow, Soviet Union[2]",28:30.4
Walter George (GBR),,1882-03-25,"London, United Kingdom",32:09.0[b]
Walter George (GBR),,1884-04-07,"London, United Kingdom",31:53.4[b]
Walter George (GBR),,1884-07-28,"London, United Kingdom",31:40.0[b]
William Cummings (GBR),,1885-09-28,"London, United Kingdom",31:23.1
William Howitt (GBR),,1847-04-05,"Peckham, United Kingdom",32:35.0[a]
William Sigei (KEN),"",22.07.1994,"Oslo, Norway[2]",26:52.23
Yobes Ondieki (KEN),"",10.07.1993,"Oslo, Norway[2]",26:58.38
