Competitor,Country,Date,Discipline,DOB,Perf,Progression,Venue,Wind
Aries MERRITT,USA,2012-09-07 00:00:00,110 Metres Hurdles,1985-07-24 00:00:00,12.80,"","Boudewijnstadion, Bruxelles (BEL)",'+0.3
Armand DUPLANTIS,SWE,2022-07-24 00:00:00,Pole Vault,1999-11-10 00:00:00,6.21,"","Hayward Field, Eugene, OR (USA)",""
Armand DUPLANTIS,SWE,2023-02-25 00:00:00,Pole Vault,1999-11-10 00:00:00,6.22   *(i),"","Maison des Sports, Clermont-Ferrand (FRA)",""
Berihu AREGAWI,ETH,2021-12-31 00:00:00,5 Kilometres,2001-02-28 00:00:00,12:49,"",Barcelona (ESP),""
Bernardo SEGURA,MEX,1994-05-07 00:00:00,"20,000 Metres Race Walk",1970-02-11 00:00:00,1:17:25.6h,"",Fana (NOR),""
CJ ALBERTSON,USA,2022-10-08 00:00:00,50 Kilometres,1993-10-11 00:00:00,2:38:43   *,"","San Francisco, CA (USA)",""
Daniel KOMEN,KEN,1996-09-01 00:00:00,3000 Metres,1976-05-17 00:00:00,7:20.67,"",Rieti (ITA),""
David RUDISHA,KEN,2012-08-09 00:00:00,800 Metres,1988-12-17 00:00:00,1:40.91,"","Olympic Stadium, London (GBR)",""
Eliud KIPCHOGE,KEN,2022-09-25 00:00:00,Marathon,1984-11-05 00:00:00,2:01:09,"",Berlin (GER),""
Hicham EL GUERROUJ,MAR,1998-07-14 00:00:00,1500 Metres,1974-09-14 00:00:00,3:26.00,"","Stadio Olimpico, Roma (ITA)",""
Hicham EL GUERROUJ,MAR,1999-07-07 00:00:00,One Mile,1974-09-14 00:00:00,3:43.13,"","Stadio Olimpico, Roma (ITA)",""
Hicham EL GUERROUJ,MAR,1999-09-07 00:00:00,2000 Metres,1974-09-14 00:00:00,4:44.79,"","Olympiastadion, Berlin (GER)",""
Jacob KIPLIMO,UGA,2021-11-21 00:00:00,Half Marathon,2000-11-14 00:00:00,57:31,"",Lisboa (POR),""
Jamaica,JAM,2012-08-11 00:00:00,4x100 Metres Relay,,36.84,"","Olympic Stadium, London (GBR)",""
Jamaica,JAM,2014-05-24 00:00:00,4x200 Metres Relay,,1:18.63,"","T. Robinson Stadium, Nassau (BAH)",""
Jan ŽELEZNÝ,CZE,1996-05-25 00:00:00,Javelin Throw,1966-06-16 00:00:00,98.48,"",Jena (GER),""
Javier SOTOMAYOR,CUB,1993-07-27 00:00:00,High Jump,1967-10-13 00:00:00,2.45,"",Salamanca (ESP),""
Jonathan EDWARDS,GBR,1995-08-07 00:00:00,Triple Jump,1966-05-10 00:00:00,18.29,"","Ullevi Stadium, Göteborg (SWE)",'+1.3
Joshua CHEPTEGEI,UGA,2020-08-14 00:00:00,5000 Metres,1996-09-12 00:00:00,12:35.36,"","Stade Louis II, Monaco (MON)",""
