Competitor,Country,Date,Discipline,DOB,Perf,Progression,Venue,Wind
Claudia IOVAN,ROU,1999-01-30 00:00:00,3000 Metres Race Walk,1978-02-25 00:00:00,11:40.33,"",Bucureşti (ROU),""
Cornelia OSCHKENAT,GDR,1988-02-20 00:00:00,50 Metres Hurdles,1961-10-29 00:00:00,6.58,"",Berlin (GER),""
Femke BOL,NED,2023-02-19 00:00:00,400 Metres,2000-02-23 00:00:00,49.26   *,"","Omnisport, Apeldoorn (NED)",""
Genzebe DIBABA,ETH,2014-02-06 00:00:00,3000 Metres,1991-02-08 00:00:00,8:16.60,"","Globe Arena, Stockholm (SWE)",""
Genzebe DIBABA,ETH,2015-02-19 00:00:00,5000 Metres,1991-02-08 00:00:00,14:18.86,"","Globe Arena, Stockholm (SWE)",""
Genzebe DIBABA,ETH,2016-02-17 00:00:00,One Mile,1991-02-08 00:00:00,4:13.31,"","Globe Arena, Stockholm (SWE)",""
Gudaf TSEGAY,ETH,2021-02-09 00:00:00,1500 Metres,1997-06-23 00:00:00,3:53.09,"","Arena Stade Couvert, Liévin (FRA)",""
Heike DRECHSLER,GDR,1988-02-13 00:00:00,Long Jump,1964-12-16 00:00:00,7.37,"",Wien (AUT),""
Helena FIBINGEROVÁ,TCH,1977-02-19 00:00:00,Shot Put,1949-07-13 00:00:00,22.50,"",Jablonec (TCH),""
Irina PRIVALOVA,RUS,1995-02-09 00:00:00,50 Metres,1968-11-22 00:00:00,5.96,"",Madrid (ESP),""
Irina PRIVALOVA,RUS,1993-02-11 00:00:00,60 Metres,1968-11-22 00:00:00,6.92,"",Madrid (ESP),""
Irina PRIVALOVA,RUS,1995-02-09 00:00:00,60 Metres,1968-11-22 00:00:00,6.92,"",Madrid (ESP),""
Jarmila KRATOCHVÍLOVÁ,TCH,1982-03-07 00:00:00,400 Metres,1951-01-26 00:00:00,49.59,"","Palazzo dello Sport, Milano (ITA)",""
Jennifer SUHR,USA,2013-03-02 00:00:00,Pole Vault,1982-02-05 00:00:00,5.02,"","Albuquerque, NM (USA)",""
Jolanda ČEPLAK,SLO,2002-03-03 00:00:00,800 Metres,1976-09-12 00:00:00,1:55.82,"","Ferry-Dusika-Halle, Wien (AUT)",""
Kajsa BERGQVIST,SWE,2006-02-04 00:00:00,High Jump,1976-10-12 00:00:00,2.08,"",Arnstadt (GER),""
Maria de Lurdes MUTOLA,MOZ,1999-02-25 00:00:00,1000 Metres,1972-10-27 00:00:00,2:30.94,"",Stockholm (SWE),""
Merlene OTTEY,JAM,1993-02-13 00:00:00,200 Metres,1960-05-10 00:00:00,21.87,"",Liévin (FRA),""
Nafissatou THIAM,BEL,2023-03-03 00:00:00,Pentathlon,1994-08-19 00:00:00,5055   *,"","Ataköy Arena, Istanbul (TUR)",""
Nataliya DOBRYNSKA,UKR,2012-03-09 00:00:00,Pentathlon,1982-05-29 00:00:00,5013,"","Ataköy Arena, Istanbul (TUR)",""
Russia,RUS,2005-01-29 00:00:00,4x200 Metres Relay,,1:32.41,"",Glasgow (GBR),""
Russia,RUS,2006-01-28 00:00:00,4x400 Metres Relay,,3:23.37,"",Glasgow (GBR),""
Susanna KALLUR,SWE,2008-02-10 00:00:00,60 Metres Hurdles,1981-02-16 00:00:00,7.68,"",Karlsruhe (GER),""
United States,USA,2018-02-03 00:00:00,4x800 Metres Relay,,8:05.89,"","New York, NY (USA)",""
Yulimar ROJAS,VEN,2022-03-20 00:00:00,Triple Jump,1995-10-21 00:00:00,15.74,"","Štark Arena, Beograd (SRB)",""
