Competitor,Country,Date,Discipline,DOB,Perf,Progression,Venue,Wind
Armand DUPLANTIS,SWE,2022-03-20 00:00:00,Pole Vault,1999-11-10 00:00:00,6.20,"","Štark Arena, Beograd (SRB)",""
Armand DUPLANTIS,SWE,2023-02-25 00:00:00,Pole Vault,1999-11-10 00:00:00,6.22   *,"","Maison des Sports, Clermont-Ferrand (FRA)",""
Ashton EATON,USA,2012-03-10 00:00:00,Heptathlon,1988-01-21 00:00:00,6645,"","Ataköy Arena, Istanbul (TUR)",""
Ayanleh SOULEIMAN,DJI,2016-02-17 00:00:00,1000 Metres,1992-12-03 00:00:00,2:14.20,"","Globe Arena, Stockholm (SWE)",""
Carl LEWIS,USA,1984-01-27 00:00:00,Long Jump,1961-07-01 00:00:00,8.79,"","New York, NY (USA)",""
Christian COLEMAN,USA,2018-02-18 00:00:00,60 Metres,1996-03-06 00:00:00,6.34,"","Albuquerque, NM (USA)",""
Daniel KOMEN,KEN,1998-02-06 00:00:00,3000 Metres,1976-05-17 00:00:00,7:24.90,"",Budapest (HUN),""
Donovan BAILEY,CAN,1996-02-09 00:00:00,50 Metres,1967-12-16 00:00:00,5.56,"","Reno, NV (USA)",""
Frank FREDERICKS,NAM,1996-02-18 00:00:00,200 Metres,1967-10-02 00:00:00,19.92,"",Liévin (FRA),""
Grant HOLLOWAY,USA,2021-02-24 00:00:00,60 Metres Hurdles,1997-11-19 00:00:00,7.29,"","Gallur, Madrid (ESP)",""
Grant HOLLOWAY,USA,2022-03-20 00:00:00,60 Metres Hurdles,1997-11-19 00:00:00,7.29,"","Štark Arena, Beograd (SRB)",""
Great Britain & NI,GBR,1991-03-03 00:00:00,4x200 Metres Relay,,1:22.11,"",Glasgow (GBR),""
HOKA NJ / NY TC,USA,2018-02-25 00:00:00,4x800 Metres Relay,,7:11.30,"","Boston, MA (USA)",""
Houston,USA,2019-02-09 00:00:00,4x400 Metres Relay,,3:01.51,"","Clemson, SC (USA)",""
Hugues Fabrice ZANGO,BUR,2021-01-16 00:00:00,Triple Jump,1993-06-25 00:00:00,18.07,"","Stadium Jean-Pellez, Aubiére (FRA)",""
Jakob INGEBRIGTSEN,NOR,2022-02-17 00:00:00,1500 Metres,2000-09-19 00:00:00,3:30.60,"","Arena Stade Couvert, Liévin (FRA)",""
Javier SOTOMAYOR,CUB,1989-03-04 00:00:00,High Jump,1967-10-13 00:00:00,2.43,"","Budapest Sportcsarnok, Budapest (HUN)",""
Kenenisa BEKELE,ETH,2004-02-20 00:00:00,5000 Metres,1982-06-13 00:00:00,12:49.60,"","National Indoor Arena, Birmingham (GBR)",""
Kerron CLEMENT,USA,2005-03-12 00:00:00,400 Metres,1985-10-31 00:00:00,44.57,"","Fayetteville, AR (USA)",""
Lamecha GIRMA,ETH,2023-02-15 00:00:00,3000 Metres,2000-11-26 00:00:00,7:23.81   *,"","Arena Stade Couvert, Liévin (FRA)",""
Mark MCKOY,CAN,1986-03-05 00:00:00,50 Metres Hurdles,1961-12-10 00:00:00,6.25,"",Kobe (JPN),""
Mikhail SHCHENNIKOV,RUS,1995-02-14 00:00:00,5000 Metres Race Walk,1967-12-24 00:00:00,18:07.08,"",Moskva (RUS),""
Ryan CROUSER,USA,2021-01-24 00:00:00,Shot Put,1992-12-18 00:00:00,22.82,"","Randal Tyson Indoor Center, Fayetteville, AR (USA)",""
Ryan CROUSER,USA,2023-02-18 00:00:00,Shot Put,1992-12-18 00:00:00,23.38   *,"","Holt Arena, Pocatello, ID (USA)",""
Wilson KIPKETER,DEN,1997-03-09 00:00:00,800 Metres,1972-12-12 00:00:00,1:42.67,"","Palais Omnisports de Paris-Bercy, Paris (FRA)",""
Yomif KEJELCHA,ETH,2019-03-03 00:00:00,One Mile,1997-08-01 00:00:00,3:47.01,"","Boston, MA (USA)",""
