Athlete,Auto,Date,Location,Nationality,Wind,Time
Annegret Richter,,"July 25, 1976[1]","Montreal, Canada",West Germany,0.6,11.01
Barbara Ferrell,"","July 2, 1967[1]","Santa Barbara, United States",United States,0.3,11.1
Barbara Ferrell,"","October 14, 1968","Mexico City, Mexico",United States,"",11.1
Betty Robinson,"","June 2, 1928","Chicago, Illinois, United States",United States,"",12.0
Chi Cheng,11.22,"July 18, 1970[1]","Vienna, Austria",Republic of China (Taiwan),1.9,11.0
Ellen Strophal,"","June 15, 1972[1]","Potsdam, East Germany",East Germany,1.9,11.0
Emmi Haux,"","May 21, 1923","Frankfurt, Germany",Germany,"",12.7(110y)
Eva Glesková,"","July 1, 1972[1]","Budapest, Hungary",Czechoslovakia,1.4,11.0
Evelyn Ashford,,"August 22, 1984[1]","Zürich, Switzerland",United States,1.7,10.76
Evelyn Ashford,,"July 3, 1983[1]","US Air Force Academy, United States",United States,0.6,10.79
Ewa Kłobukowska,"","July 9, 1965[note 1][3]: 247","Prague, Czechoslovakia",Poland,2.0,11.1
Fanny Blankers-Koen,"","June 13, 1948[1]","Amsterdam, Netherlands",Netherlands,"",11.5
Fanny Blankers-Koen,"","September 5, 1943","Amsterdam, Netherlands",Netherlands,"",11.5
Florence Griffith-Joyner,,"July 16, 1988[1]","Indianapolis, United States",United States,0.0*,10.49
Gertrud Gladitsch,"","July 3, 1927","Stuttgart, Germany",Germany,"",12.1(110y)
Gundel Wittmann,"","August 22, 1926[1]","Braunschweig, Germany",Germany,"",12.4
Helen Stephens,"","April 10, 1935","Fulton, United States",United States,"",11.9
Helen Stephens,"","August 10, 1936","Dresden, Germany",United States,"",11.5
Helen Stephens,"","June 1, 1935","Saint Louis, United States",United States,"",11.8
Helen Stephens,"","June 8, 1935[1]","Kansas City, United States",United States,"",11.6
Hilda Strike,"","August 2, 1932","Los Angeles, United States",Canada,"",11.9
Inge Helten,,"June 13, 1976[1]","Fürth, West Germany",West Germany,0.6,11.04
Irena Kirszenstein,"","July 9, 1965[1]","Prague, Czechoslovakia",Poland,2.0,11.1
Irena Szewińska,11.20,"October 14, 1968[1]","Mexico City, Mexico",Poland,1.8,11.1
Käthe Krauß,"","August 11, 1934","London, England",Germany,"",11.9
Kinue Hitomi,"","May 20, 1928[1]","Osaka, Japan",Japan,"",12.2
Leni Junker,"","August 1, 1931","Magdeburg, Germany",Germany,"",12.0
Leni Junker,"","August 29, 1926","Hanover, Germany",Germany,"",12.2
Leni Junker,"","September 13, 1925","Wiesbaden, Germany",Germany,"",12.2(110y)
Leni Schmidt,"","August 30, 1925","Leipzig, Germany",Germany,"",12.4
Lulu Mae Hymes,"","May 6, 1939",Tuskegee,United States,"",11.5
Lyudmila Samotyosova,"","August 15, 1968[1]","Leninakan, Soviet Union",Soviet Union,0.0,11.1
Margaret Bailes,"","August 18, 1968","Aurora, Philippines",United States,"",11.1
Marie Mejzlíková,"","August 5, 1922[1]","Prague, Czechoslovakia",Czechoslovakia,"",13.6
Marie Mejzlíková,"","May 13, 1923","Prague, Czechoslovakia",Czechoslovakia,"",12.8
Marjorie Jackson,"","October 4, 1952[1]","Gifu, Japan",Australia,1.7,11.4
Marjorie Jackson,11.65,"July 22, 1952","Helsinki, Finland",Australia,1.7,11.5
Marlies Göhr,,"July 9, 1982[1]","Karl-Marx-Stadt, East Germany",East Germany,1.9,10.88
Marlies Göhr,,"June 8, 1983[1]","Berlin, East Germany",East Germany,1.7,10.81
