Elapsed Time,Moving Time,Distance,Type,Elapsed Pace,Moving Pace
2972,2715.0,9.29,Run,319.913885898816,292.2497308934338
5023,3046.0,9.9,Run,507.37373737373736,307.67676767676767
1440,1358.0,5.02,Run,286.8525896414343,270.5179282868526
3450,3249.0,10.64,Run,324.24812030075185,305.35714285714283
6972,6574.0,21.53,Run,323.82721783557827,305.3413841151881
3092,3085.0,10.07,Run,307.0506454816286,306.3555114200596
3226,2961.0,10.33,Run,312.2942884801549,286.6408518877057
2225,1911.0,6.84,Run,325.2923976608187,279.3859649122807
3331,1331.0,4.51,Run,738.5809312638581,295.1219512195122
3567,2488.0,7.88,Run,452.66497461928935,315.73604060913704
2446,2404.0,8.01,Run,305.36828963795256,300.1248439450687
3853,3561.0,11.38,Run,338.5764499121265,312.9173989455184
3265,969.0,2.82,Run,1157.8014184397164,343.6170212765958
3144,2995.0,9.73,Run,323.1243576567317,307.8108941418294
3414,885.0,2.82,Run,1210.6382978723404,313.82978723404256
1387,1369.0,5.03,Run,275.7455268389662,272.1669980119284
3738,3129.0,10.74,Run,348.0446927374302,291.340782122905
2927,1767.0,6.03,Run,485.4063018242123,293.0348258706467
2295,2088.0,6.96,Run,329.7413793103448,300.0
6983,6907.0,21.33,Run,327.37927801218945,323.81622128457576
2763,1425.0,5.04,Run,548.2142857142857,282.73809523809524
11687,10371.0,29.5,Run,396.1694915254237,351.5593220338983
3742,3160.0,10.05,Run,372.33830845771143,314.42786069651737
2342,1433.0,4.14,Run,565.7004830917875,346.1352657004831
1699,1461.0,5.11,Run,332.4853228962818,285.9099804305284
3722,2881.0,10.01,Run,371.82817182817183,287.8121878121878
3459,1333.0,3.97,Run,871.2846347607052,335.7682619647355
2795,2513.0,8.49,Run,329.21083627797407,295.99528857479385
2950,2325.0,7.92,Run,372.47474747474746,293.56060606060606
2977,2968.0,10.06,Run,295.92445328031806,295.02982107355865
3376,1421.0,4.87,Run,693.223819301848,291.7864476386037
3874,1018.0,3.43,Run,1129.4460641399417,296.7930029154519
1488,1479.0,5.28,Run,281.8181818181818,280.1136363636364
3598,3042.0,10.28,Run,350.0,295.91439688715957
